epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1645.26,0.20717,0.38698,0.81751,0.9968,1,0.995,0.99,0.17577,0.35573,0.78471,0.000244837,0.000244837,0.000244837
65,1671.98,0.20431,0.37183,0.80074,0.99722,1,0.995,0.98025,0.21136,0.34929,0.78694,0.000231088,0.000231088,0.000231088
66,1698.38,0.20809,0.36768,0.82157,0.99715,1,0.995,0.9779,0.20783,0.34169,0.78703,0.000217339,0.000217339,0.000217339
67,1724.8,0.2274,0.38143,0.80917,0.99719,1,0.995,0.98418,0.17596,0.33407,0.78485,0.000203591,0.000203591,0.000203591
68,1751.4,0.20368,0.36048,0.80782,0.99699,1,0.995,0.995,0.14701,0.32153,0.7836,0.000189842,0.000189842,0.000189842
69,1777.82,0.20166,0.35731,0.80817,0.99691,1,0.995,0.995,0.13773,0.32333,0.78356,0.000176094,0.000176094,0.000176094
70,1804.4,0.19206,0.34978,0.81001,0.99685,1,0.995,0.99255,0.14638,0.31858,0.78402,0.000162345,0.000162345,0.000162345
71,1830.23,0.15563,0.34015,0.76702,0.9971,1,0.995,0.9933,0.15621,0.32482,0.7844,0.000148596,0.000148596,0.000148596
72,1856.76,0.14238,0.33346,0.77446,0.99697,1,0.995,0.9933,0.156,0.3438,0.78519,0.000134848,0.000134848,0.000134848
73,1882.79,0.14201,0.33898,0.77769,0.99716,1,0.995,0.9933,0.14686,0.36289,0.78541,0.000121099,0.000121099,0.000121099
74,1908.59,0.14869,0.34425,0.77298,0.997,1,0.995,0.9899,0.15335,0.35108,0.78615,0.00010735,0.00010735,0.00010735
75,1934.76,0.13765,0.3399,0.76783,0.99686,1,0.995,0.99171,0.14824,0.33844,0.78572,9.36017e-05,9.36017e-05,9.36017e-05
76,1960.73,0.13918,0.33512,0.76933,0.99695,1,0.995,0.9933,0.13168,0.31491,0.78301,7.98531e-05,7.98531e-05,7.98531e-05
77,1986.83,0.14127,0.32404,0.7708,0.99698,1,0.995,0.9933,0.13139,0.30972,0.7824,6.61045e-05,6.61045e-05,6.61045e-05
78,2012.61,0.13274,0.31963,0.76687,0.99699,1,0.995,0.9933,0.13091,0.30689,0.78213,5.23559e-05,5.23559e-05,5.23559e-05
79,2038.4,0.14312,0.32808,0.77373,0.99696,1,0.995,0.9933,0.13152,0.30163,0.78219,3.86073e-05,3.86073e-05,3.86073e-05
80,2064.57,0.13208,0.31897,0.77195,0.99697,1,0.995,0.9933,0.13234,0.30092,0.78226,2.48586e-05,2.48586e-05,2.48586e-05
